title,importId,parentImportId,description,status,priority,assignee,dueDate
登录方式,T001,,所属模块: 系统管理,done,medium,郭震,2026-01-23
登录页面优化,T002,,所属模块: 系统管理,done,medium,陈奇,2026-01-19
机构设置,T003,,"所属模块: 系统管理
需要联调调整",done,medium,赵庆欣,2026-02-12
机构前端组件封装,T004,,所属模块: 系统管理,done,medium,陈奇,2026-01-21
用户管理,T005,,"所属模块: 系统管理
3月19号拿到人力用户信息同步接口
3月11号拿到接口字段码值说明",in_progress,medium,赵庆欣,2026-02-12
参数设置,T006,,所属模块: 系统管理,done,medium,黄志文,2026-01-04
工作平台,T007,,所属模块: 系统管理,done,medium,赵庆欣,2026-01-15
工作平台前端,T008,,所属模块: 系统管理,in_progress,medium,陈奇,2026-01-15
任务中心公共服务开发,T009,,所属模块: 系统管理,done,medium,赵庆欣,2026-01-15
消息中心开发,T010,,所属模块: 系统管理,done,medium,赵庆欣,2026-01-17
机构开立/变更,T011,,所属模块: 机构管理,done,medium,陈义康,2026-01-29
机构撤并管理,T012,,所属模块: 机构管理,done,medium,陈义康,2026-01-29
柜员信息维护申请表,T013,,"所属模块: 人员管理
审批信息打印下载
公共实现",done,medium,杜宝祥,2026-01-26
假期维护,T014,,所属模块: 人员管理,done,medium,吴卓隆,2025-12-29
假期提前销假,T015,,所属模块: 人员管理,done,medium,吴卓隆,2025-12-29
轮岗参数配置,T016,,所属模块: 人员管理,done,medium,吴卓隆,2026-01-05
轮岗数据查询,T017,,所属模块: 人员管理,done,medium,吴卓隆,2026-01-05
专业人才库入库人员名单,T018,,所属模块: 人员管理,done,medium,吴卓隆,2026-01-05
流程审批,T019,,"所属模块: 移动办公
细化具体要放在移动端审批的功能",in_progress,medium,陈奇,2026-03-26
信息提醒与查看,T020,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
假期维护申请,T021,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
提前销假申请,T022,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
画像查看,T023,,所属模块: 移动办公,backlog,medium,陈奇,2026-05-15
查库执行,T024,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
查库台账,T025,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
检查执行,T026,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
业务印章管理台账（重要物品）,T027,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
电子登记簿（非指纹类）,T028,,所属模块: 移动办公,in_progress,medium,陈奇,2026-02-11
案例库查看,T029,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
