title,importId,parentImportId,description,progressPercent,status,priority,assignee,startDate,dueDate
系统管理,T-1,,,0,todo,,黄志文,,
机构管理,T-2,,,0,todo,,,,
人员管理,T-3,,,0,todo,,,,
移动办公,T-4,,,0,todo,,,,
现金库存预警阈值测算,T-5,,,0,todo,,,,
凭证管理,T-6,,,0,todo,,,,
业务印章管理,T-7,,,0,todo,,,,
重要物品管理,T-8,,,0,todo,,,,
查库管理,T-9,,,0,todo,,,,
检查管理,T-10,,,0,todo,,,,
电子登记簿,T-11,,,0,todo,,,,
审批流程管理,T-12,,,0,todo,,,,
知识库,T-13,,,0,todo,,,,
报告功能,T-14,,,0,todo,,,,
案例库管理,T-15,,,0,todo,,,,
自定义数据填写,T-16,,,0,todo,,,,
其他,T-17,,,0,todo,,,,
档案管理,T-18,,,0,todo,,,,
网点登记,T-19,T-18,,0,todo,,,,
签收整理,T-20,T-18,,0,todo,,,,
科学保管,T-21,T-18,,0,todo,,,,
档案借阅,T-22,T-18,,0,todo,,,,
档案销毁,T-23,T-18,,0,todo,,,,
档案查询,T-24,T-18,,0,todo,,,,
常量定义,T-25,T-18,,0,todo,,,,
视图画像,T-26,,,0,todo,,,,
监督预警,T-27,,,0,todo,,,,
模型实验室-模型管理,T-28,T-27,,0,todo,,,,
模型实验室-模型试验,T-29,T-27,,0,todo,,,,
配置管理,T-30,T-27,,0,todo,,,,
任务处理,T-31,T-27,,0,todo,,,,
差错管理,T-32,T-27,,0,todo,,,,
模型实验室-综合查询,T-33,T-27,,0,todo,,,,
模型实验室-统计报表,T-34,T-27,,0,todo,,,,
模型实验室-历史数据查询,T-35,T-27,,0,todo,,,,
批量任务,T-36,T-27,,0,todo,,,,
外联服务,T-37,,,0,todo,,,,
柜面审批流程开发,T-38,,,0,todo,,,,
任务调度,T-39,,,0,todo,,,,
流程引擎,T-40,,,0,todo,,,,
数据贯标,T-41,,,0,todo,,,,
集成部署,T-42,,,0,todo,,,,
非功能需求实现,T-43,,,0,todo,,,,
信息安全需求实现,T-44,,,0,todo,,,,
自定义登记簿开发,T-45,,,0,todo,,,,
档案管理服务原型集成,T-46,T-18,,0,todo,,,,
移动门户集成,T-47,,,0,todo,,,,
公共组件开发,T-48,,,0,todo,,,,
数字人对接,T-49,,,0,todo,,,,
考培服务,T-50,,,0,todo,,,,
其他,T-51,,,0,todo,,,,
批量任务模型,T-52,,,0,todo,,,,
普通预警模型,T-53,T-52,,0,todo,,,,
积分卡预警模型,T-54,T-52,,0,todo,,杜宝祥,,
监督模型,T-55,T-52,,0,todo,,,,
批量任务,T-56,,,0,todo,,,,
实时数据处理,T-57,T-56,,0,todo,,,,
FM_BORROW_MAIN,T-58,,,0,todo,,张辉,,
登录方式,T-59,T-1,,100,done,,郭震,2026/01/12,2026/01/23
登录页面优化,T-60,T-1,,100,done,,王白石,2026/01/15,2026/01/19
机构设置,T-61,T-1,需要联调调整,100,done,,赵庆欣,2026/02/02,2026/02/12
机构前端组件封装,T-62,T-1,,100,done,,王白石,2026/01/19,2026/01/21
用户管理,T-63,T-1,3月19号拿到人力用户信息同步接口 / 3月11号拿到接口字段码值说明,100,done,,赵庆欣,2026/02/02,2026/02/12
参数设置,T-64,T-1,,100,done,,黄志文,2026/01/04,2026/01/04
工作平台,T-65,T-1,,100,done,,赵庆欣,2026/01/12,2026/01/15
工作平台前端,T-66,T-1,,80,in_progress,,王白石,2026/01/14,2026/01/15
任务中心公共服务开发,T-67,T-1,,100,done,,赵庆欣,2026/01/15,2026/01/15
消息中心开发,T-68,T-1,,100,done,,赵庆欣,2026/01/16,2026/01/17
机构开立/变更,T-69,T-2,,100,done,,陈义康,2026/01/22,2026/01/29
机构撤并管理,T-70,T-2,,100,done,,陈义康,2026/01/22,2026/01/29
柜员信息维护申请表,T-71,T-3,审批信息打印下载 / 公共实现,100,done,,杜宝祥,2026/01/20,2026/01/26
假期维护,T-72,T-3,,100,done,,吴卓隆,2025/12/23,2025/12/29
